"AdID";"CreateDate";"ChangeDate";"AdStatusID";"SiteID";"AdGroupID";"ParentAdID";"PropertyTypeID";"DealTypeID";"AvailableDate";"HasCableTV";"HasCellar";"HasConservatory";"HasDishwasher";"HasDryer";"HasFireplace";"HasGarden";"HasGardenhouse";"HasLift";"HasPlayground";"HasTinkerroom";"HasWashingmachine";"HasWoodStove";"IsAttic";"IsBrightly";"IsBuildingLandConnected";"IsCentral";"IsChildFriendly";"IsCornerHouse";"IsFirstTimeUse";"IsFlatShare";"IsFurnished";"IsMiddleHouse";"IsMinergieCertified";"IsNewBuilding";"IsOldBuilding";"IsQuiet";"IsRaisedGroundFloor";"IsSunny";"IsUnderBuildingLaws";"IsUnderRoof";"IsWheelchairAccessable";"NumApartments";"NumBalconies";"NumBaths";"NumBathtubs";"NumFloors";"NumParkingIndoor";"NumParkingOutdoor";"NumPorches";"NumRooms";"NumShowers";"NumSwimmingPools";"NumTerraces";"NumToilets";"YearOfConstruction";"CountryID";"Zip";"City";"Street";"Condition";"CurrencyID";"DistanceBus";"DistanceHighway";"DistanceKindergarden";"DistancePlayground";"DistancePrimarySchool";"DistanceSecondarySchool";"DistanceShoppingFacilities";"DistanceTimeBus";"DistanceTimeHighway";"DistanceTimeShoppingFacilities";"DistanceTrainStation";"DistanceUniversity";"Floor";"Flooring";"LivingSpace";"BuildingArea";"BalconyMeters";"GardenMeters";"Heating";"LastModifiedOnSite";"MinergieGeneral";"GrossRent";"NetRent";"SideCost";"PurchasePrice";"Orientation";"ParkingIndoorText";"ParkingOutdoorText";"PetsAllowed";"PhoneType";"RenovationYear";"Situation";"StoveType";"ViewText";"Volume";"VendorCity";"VendorCountry";"VendorPriority";"VendorType";"VendorWebsite";"VendorZIP";"FlatRate";"PriceModel";"LastCreateMessageID";"LastUpdateMessageID";"LastDeleteMessageID";"LastMutatedMessageID";"GeoPosQuality";"GeoDataSource";"LevenshteinMatch";"LevenshteinFactor";"GeoPosX";"GeoPosY";"GeoPosLng";"GeoPosLat";"GeoSystem";"District";"StreetNumber";"ComparisPoints";"ComparisPrice";"ComparisPriceMin";"ComparisPriceMax";"CommunityID";"CommunityName";"UsefulArea";"PriceTypeID";"DuplicateGroupID";"LastPriceChangeDate";"LastPriceChange";"OverallPriceChange";"LocationID";"PartialMatch";"RealEstateID";"DeleteDate";"SiteIDOriginal"
9;2005-01-11 16:12:14.660;2009-09-29 11:21:42.553;-2;205;9;9;1;10;2005-02-16 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;0;NULL;1203;Genève;Avenue Ernest-Pictet;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;40;NULL;NULL;NULL;NULL;NULL;NULL;1530;1450;80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16;NULL;NULL;6775;9;GOO;0;0;118765;498701;6.1259602000;46.2126932000;1;Canton de Genève;16;2.28261909516009;1144.5510350509;1144.5510350509;1144.5510350509;6621;Genève;NULL;NULL;3263370;NULL;NULL;NULL;109383;0;1777912;2005-01-12 21:26:28.190;NULL
14;2005-01-11 16:12:16.830;2009-09-29 11:21:43.110;-1;205;14;14;1;10;2005-01-15 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;0;NULL;1203;GENEVE;Rue d'Ermenonville;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;60;NULL;NULL;NULL;NULL;NULL;NULL;1650;1550;100;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21;NULL;6789;NULL;9;GOO;0;0;117723;498542;6.1241267000;46.2032971000;1;Canton de Genève;7;4.91876912160547;1718.43524035569;1718.43524035569;1718.43524035569;6621;Genève;NULL;NULL;3263375;NULL;NULL;NULL;60970;0;1777917;2005-01-12 21:26:35.720;NULL
50;2005-01-11 20:26:10.520;2009-10-02 13:15:11.227;-2;201;50;50;4;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;5.5;NULL;NULL;NULL;NULL;2003;NULL;5074;EIKEN;Zimberrainweg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;720000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;99;2149109;2145256;2272761;9;GOO;0;0;264496;641531;7.9901289000;47.5298869000;-10;Bezirk Laufenburg;7;NULL;NULL;NULL;NULL;4161;Eiken;NULL;NULL;3263467;NULL;NULL;NULL;109404;1;1777953;2005-06-14 13:18:57.533;NULL
143;2005-01-11 20:31:19.613;2009-09-29 12:59:51.153;-1;204;143;143;1;10;2005-02-01 00:00:00.000;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;NULL;0;NULL;2017;Boudry;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;980;860;120;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;585;NULL;133678;NULL;5;DB;0;0;199938;551828;6.8058618000;46.9487676000;1;District de Boudry;NULL;NULL;NULL;NULL;NULL;6404;Boudry;NULL;NULL;3263693;NULL;NULL;NULL;4984;0;1778044;2005-01-28 10:36:57.760;NULL
1444;2005-01-12 10:32:27.583;2009-09-29 11:59:09.930;-1;200;1444;1444;1;10;2005-01-12 10:32:27.583;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;NULL;0;NULL;8132;Egg b. Zürich;Radrainweg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;860;780;80;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2389;NULL;51331;NULL;9;GOO;0;0;239119;694551;8.6887479000;47.2961821000;1;Bezirk Uster;4;NULL;NULL;NULL;NULL;192;Egg;NULL;NULL;3266898;NULL;NULL;NULL;109900;1;1779179;2005-01-18 08:23:28.000;NULL
115040;2005-02-28 17:13:43.883;2009-09-30 16:56:49.477;-1;204;115040;115040;14;10;2004-10-01 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7;NULL;NULL;NULL;NULL;0;NULL;8102;Oberengstringen;Kirchweg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;190;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;408000;769194;997813;NULL;9;GOO;0;0;250939;678443;8.4778703000;47.4045971000;1;Bezirk Dietikon;35;NULL;NULL;NULL;NULL;245;Oberengstringen;NULL;NULL;3434850;NULL;NULL;NULL;113243;0;1846567;2005-04-05 09:59:35.750;NULL
138636;2005-03-04 19:09:06.133;2009-09-30 15:02:08.537;-1;200;30755;138636;2;10;2005-04-09 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;6.5;NULL;NULL;NULL;NULL;0;NULL;4000;Basel;Augustinergasse;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;150;NULL;NULL;NULL;NULL;NULL;NULL;4250;4250;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;486037;674073;802592;NULL;6;GOO;0;0;267377;611458;7.5908500000;47.5570110000;1;Kanton Basel-Stadt;2;NULL;NULL;NULL;NULL;2701;Basel;NULL;NULL;3325090;NULL;NULL;NULL;86201;1;1801237;2005-03-23 20:05:47.093;NULL
143123;2005-03-08 12:55:50.320;2011-04-04 16:56:02.733;-30;201;137070;143123;11;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;5.5;NULL;NULL;1;NULL;0;NULL;5034;Suhr;Hübeliacker;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;NULL;126;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;524000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;537537;NULL;541618;547336;8;GOO;0;0;248376;647322;8.0653199000;47.3845198000;1;Bezirk Aarau;5;NULL;NULL;NULL;NULL;4012;Suhr;NULL;NULL;3458029;NULL;NULL;NULL;115408;1;1854286;2005-03-09 01:41:01.070;NULL
143686;2005-03-09 00:01:45.807;2009-10-12 01:53:20.887;-1;200;143686;143686;4;20;2005-05-01 00:00:00.000;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL;0;NULL;1971;NULL;5300;Turgi;Spalierweg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;125;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;545000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;541215;7596230;7640127;NULL;9;GOO;0;0;260330;661061;8.2488891000;47.4908965000;1;Bezirk Baden;3;NULL;NULL;NULL;NULL;4029;Gebenstorf;NULL;NULL;3465801;NULL;NULL;NULL;133777;0;1857534;2006-08-28 23:18:31.843;NULL
143935;2005-03-09 03:00:23.243;2011-04-20 01:46:30.607;-2;200;143935;143935;2;10;2005-04-01 00:00:00.000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;3.5;NULL;NULL;NULL;NULL;0;NULL;8008;Zürich;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;90;NULL;NULL;NULL;NULL;NULL;NULL;4800;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;542538;NULL;NULL;684076;5;GOO;0;0;245957;684179;8.5529168000;47.3590810000;1;Bezirk Zürich;NULL;NULL;NULL;NULL;NULL;261;Zürich;NULL;NULL;3466185;NULL;NULL;NULL;71699;0;1857702;2005-03-17 07:35:18.370;NULL
