"userid";"uIndex";"adid";"aIndex";"Rating"
390813;1854;9;0;2.5
390813;1854;14;1;4
390813;1854;50;2;2
1375589;6364;143;3;0
1946527;9000;143;3;0
1996404;9242;1444;4;0
616005;2900;115040;5;0
1127856;5259;138636;6;4
1272441;5900;138636;6;0
390813;1854;143123;7;4
386799;1835;143686;8;4
1189578;5540;143935;9;0
74647;338;144001;10;4
596334;2810;144001;10;4
1859595;8595;144001;10;4
784911;3669;144321;11;4
425798;1999;231837;12;0
1648533;7621;337700;13;0
1588791;7321;924174;14;4
616756;2904;1000000;15;4
616756;2904;1000001;16;4
616756;2904;1000002;17;4
616756;2904;1000007;18;0
1067319;4960;1085044;19;0
616756;2904;1116531;20;0.5
366969;1746;1284669;21;4
577635;2705;1360600;22;4
885084;4120;1392388;23;5
968779;4506;1392388;23;4
1658038;7661;1397870;24;4
516827;2411;1398005;25;4
1789267;8275;1398052;26;4
1071268;4976;1398569;27;0
1071268;4976;1398579;28;1
258042;1195;1399515;29;0
1849547;8557;1399515;29;0
1850289;8560;1416638;30;5
38555;177;1420688;31;0
1525129;7013;1420688;31;4
1518747;6992;1426084;32;3.5
365587;1734;1428350;33;4
922490;4290;1428350;33;0
1711654;7908;1430807;34;0
597671;2816;1432322;35;4
159833;718;1433629;36;0
272010;1270;1433629;36;4
826172;3841;1435752;37;0
410960;1934;1436304;38;0
502805;2346;1436536;39;4.5
1552269;7161;1437140;40;5
902705;4191;1438099;41;4
533441;2502;1438203;42;0
1522754;7004;1438203;42;3
1785331;8257;1438583;43;4
100216;464;1439626;44;0
16106;72;1439945;45;0
1696292;7834;1439945;45;0
914882;4258;1440935;46;2.5
1373087;6351;1441253;47;0
951961;4428;1442238;48;4
1142469;5326;1442785;49;4
1969185;9104;1444612;50;4
37900;168;1444884;51;5
1881859;8705;1445301;52;4
1681710;7773;1827841;53;0
616756;2904;2000000;54;1
1040583;4829;2442016;55;0
9994;38;2475573;56;3
28539;124;2475573;56;4
42756;198;2475573;56;3
67892;297;2475573;56;4
78867;370;2475573;56;4
110517;510;2475573;56;4
138525;644;2475573;56;5
182325;825;2475573;56;4
194127;880;2475573;56;4
204621;929;2475573;56;3.5
222363;1032;2475573;56;4
253424;1175;2475573;56;5
316989;1495;2475573;56;4
322617;1527;2475573;56;0.5
344318;1633;2475573;56;5
368205;1757;2475573;56;2.5
371682;1779;2475573;56;2.5
378874;1803;2475573;56;4
403173;1903;2475573;56;5
418887;1973;2475573;56;4
425161;1993;2475573;56;4
428967;2018;2475573;56;1.5
440874;2068;2475573;56;4
442306;2076;2475573;56;4
465678;2182;2475573;56;4
488065;2285;2475573;56;4
522991;2436;2475573;56;4
523869;2440;2475573;56;2.5
547894;2574;2475573;56;4
562715;2639;2475573;56;2.5
570978;2672;2475573;56;5
752150;3514;2475573;56;4
765394;3574;2475573;56;0
811554;3776;2475573;56;3
863592;4012;2475573;56;4
881097;4096;2475573;56;2.5
907808;4228;2475573;56;3.5
939242;4373;2475573;56;4
977776;4557;2475573;56;4.5
979919;4573;2475573;56;3
991979;4623;2475573;56;4
1038752;4825;2475573;56;3
1085803;5069;2475573;56;4
1121072;5228;2475573;56;3.5
1126757;5255;2475573;56;4
1135308;5295;2475573;56;3.5
1200118;5591;2475573;56;4
1201153;5593;2475573;56;3
1251925;5809;2475573;56;3.5
1279522;5936;2475573;56;4.5
1309421;6062;2475573;56;4
1322784;6124;2475573;56;4
1322860;6125;2475573;56;4
1358431;6281;2475573;56;4
1365886;6321;2475573;56;4
1386592;6401;2475573;56;5
1421217;6542;2475573;56;4
1422167;6547;2475573;56;2
1456465;6721;2475573;56;4
1483066;6831;2475573;56;4
1510080;6959;2475573;56;4
1517903;6987;2475573;56;4
1524955;7012;2475573;56;4
1560516;7198;2475573;56;4
1567733;7230;2475573;56;3
1573219;7253;2475573;56;2.5
1595447;7363;2475573;56;4
1599086;7390;2475573;56;4
1618967;7480;2475573;56;3
1642234;7593;2475573;56;1.5
1646869;7611;2475573;56;4.5
1662177;7681;2475573;56;3
1690292;7809;2475573;56;3.5
1778216;8225;2475573;56;1.5
1869698;8646;2475573;56;1.5
1933473;8936;2475573;56;4
1936225;8950;2475573;56;2
1969025;9102;2475573;56;1.5
77118;359;2549960;57;0
177066;802;2549960;57;0
272626;1271;2549960;57;0
305819;1437;2549960;57;4
604733;2846;2549960;57;0
1047110;4862;2549960;57;0
1127288;5257;2549960;57;0
1218267;5661;2549960;57;1.5
1472003;6786;2549960;57;0
1568948;7237;2549960;57;0
1715139;7926;2549960;57;0
1627672;7525;2597717;58;0
773615;3612;2650874;59;2
688227;3226;2731909;60;4
744172;3477;2731909;60;1.5
1334333;6172;2731909;60;1.5
1485417;6846;2731909;60;3.5
1557954;7186;2731909;60;4
1997919;9250;2731909;60;4
5299;25;2731926;61;4
10746;41;2731926;61;4
21407;87;2731926;61;2
42907;200;2731926;61;4
48064;225;2731926;61;3.5
83261;389;2731926;61;3
87830;412;2731926;61;4
97181;448;2731926;61;1
99358;461;2731926;61;4
103311;482;2731926;61;3
108394;501;2731926;61;4
111860;516;2731926;61;5
136812;632;2731926;61;1.5
150762;694;2731926;61;4
160844;724;2731926;61;4
179953;817;2731926;61;2
183794;837;2731926;61;3.5
203450;925;2731926;61;4
210349;965;2731926;61;3
223681;1035;2731926;61;1.5
226633;1051;2731926;61;5
238381;1109;2731926;61;1.5
256264;1186;2731926;61;2.5
259180;1199;2731926;61;3.5
263513;1223;2731926;61;4
280416;1315;2731926;61;4
282887;1322;2731926;61;2.5
285437;1336;2731926;61;4.5
287129;1345;2731926;61;3
297500;1395;2731926;61;2
302266;1416;2731926;61;3.5
305054;1431;2731926;61;1.5
308694;1452;2731926;61;5
310860;1462;2731926;61;3.5
326759;1552;2731926;61;2
335981;1593;2731926;61;4
384727;1824;2731926;61;2
386902;1837;2731926;61;0.5
408383;1922;2731926;61;4
420835;1977;2731926;61;4
437790;2056;2731926;61;4
445264;2089;2731926;61;4
456331;2132;2731926;61;1
488160;2286;2731926;61;4
506066;2366;2731926;61;4
506724;2371;2731926;61;4
506994;2374;2731926;61;4
514787;2401;2731926;61;5
518745;2420;2731926;61;4
530102;2487;2731926;61;4
536214;2513;2731926;61;4
556299;2614;2731926;61;4
596185;2809;2731926;61;4.5
609506;2871;2731926;61;2.5
626761;2959;2731926;61;3
667561;3137;2731926;61;1.5
673641;3155;2731926;61;4.5
689324;3233;2731926;61;1.5
707296;3309;2731926;61;4
718116;3368;2731926;61;2.5
727239;3401;2731926;61;3.5
763058;3560;2731926;61;4
770305;3597;2731926;61;4
778628;3634;2731926;61;4.5
794691;3697;2731926;61;4
818671;3802;2731926;61;2
825370;3836;2731926;61;1
830703;3857;2731926;61;1.5
838219;3891;2731926;61;4
841285;3907;2731926;61;3.5
869203;4037;2731926;61;4.5
929052;4318;2731926;61;5
960712;4473;2731926;61;2
1000237;4662;2731926;61;3.5
1002695;4675;2731926;61;2.5
1094167;5105;2731926;61;4
1119471;5219;2731926;61;4.5
1120625;5227;2731926;61;3
1134702;5292;2731926;61;1
1135510;5297;2731926;61;4
1148668;5357;2731926;61;4
1181425;5501;2731926;61;4
1199240;5583;2731926;61;2.5
1199731;5588;2731926;61;4
1203371;5600;2731926;61;4
1204112;5607;2731926;61;5
1220273;5674;2731926;61;3.5
1221431;5679;2731926;61;1
1270508;5893;2731926;61;4
1299101;6008;2731926;61;4
1314618;6086;2731926;61;4
1343212;6212;2731926;61;4
1346593;6225;2731926;61;1
1422364;6550;2731926;61;4
1434755;6603;2731926;61;2
1472334;6788;2731926;61;4
1473714;6796;2731926;61;4
